assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
0,0,0,0,0,0,60,1241,0,0,0,1306,28,26,-1,0,0,0,0,0,0,244.8,1,1466,0.4444
0,0,91.47,0,0,0,57,0,0,0,0,1777,26,25,1484,0,0.0045,0,11.04,0,0,1434,5,0,0.64
1,0,68,0,0,0,47,0,0,0,0,1318,50,47,1491,0,0,0,0,0,0,161.8,2,0,0.7755
0,0,32.9,0,0,0,75,0,0,0,0,1436,31,30,1408,0,0,0,0,0,0,202.7,3,0,0.1667
0,0,100,0,0,0,45,0,1,1,58.53,1424,97,95,1560,0,0,0,0,0,0,49.75,2,0,0.1875
0,0,100,1,1,0,44,0,1,1,18.44,1395,28,28,1418,0,0,0,0,0,0,34.7,1,0,0.037
0,0,0,0,0,0,96,1262,0,0,0,1316,28,28,-1,0,0,0,0,0,0,13.5,1,1497,0
0,0,8.538,0,0,0,48,1000,0,0,0,1967,96,92,-1,0,2004,0,0,0,0,1089,6,1500,0.7368
0,0,51.6,0,0,0,64,0,0,0,0,1375,28,27,1493,0,0,0,0,0,0,799.9,4,0,0.3704
0,0,37.27,0,0,0,74,0,0,0,0,1930,29,27,1349,0,0,0,0,0,0,65.67,1,0,0.2143
0,0,28.38,0,0,0,75,0,0,0,0,1811,29,29,1475,0,0,0,0,0,0,868.3,9,0,0.3929
0,0,137.9,1,0,0,64,0,0,0,0,1384,48,46,1488,0,0,0,0,0,0,451.7,1,0,0.4043
0,0,0,0,0,0,37,0,0,0,0,1774,29,28,1766,0,6639,0,0,0,0,2784,6,0,0.9286
0,1,324.2,0,1,5,5,986,4,1,49.83,1886,97,94,-1,0,1228,0,76.84,0,0,2050,6,1462,0.875
0,1,122.8,1,0,2,25,1411,1,1,37.91,1458,31,30,-1,1,1237,0,60.29,0,0,1666,5,1531,0.9
0,0,80.71,1,0,0,72,0,0,0,0,1313,48,48,1495,1,0,0,0,0,0,105.1,5,0,0.2766
0,2,81.71,1,0,14,25,0,1,1,9.158,1882,27,26,1436,0,519.9,0,0,0,0,3674,7,0,0.7308
0,3,254.3,0,0,12,13,0,2,1,36,1371,96,95,1536,0,2367,0,15.29,0,0,1787,3,0,0.8211
0,0,0,0,0,0,79,0,0,0,0,1301,27,26,1355,0,0,0,0,0,0,137.4,2,0,0.1923
0,1,65.28,0,0,1,48,1349,0,0,0,1322,30,28,0,0,0,0,20.85,0,0,3310,3,1479,0.931
0,4,269.1,0,1,8,18,0,2,1,7.438,1890,48,48,1491,1,2734,0,0,0,0,1794,5,0,0.6383
0,0,158.7,1,0,0,75,0,0,0,0,1853,29,28,1522,0,0,0,0,0,0,580.1,2,0,0.2143
0,1,192.3,1,2,3,15,1022,2,1,280.6,1775,49,48,-1,0,2332,0,0,0,0,1264,4,1494,0.75
0,6,1011,6,2,2,2,1564,9,2,186.6,1857,50,45,-1,0,4860,0,0,0,0,2727,7,1603,0.9592
0,3,327.6,4,1,1,3,1346,4,2,167.8,1454,27,27,-1,0,0,0,0,0,0,3503,4,1496,0.9231
1,4,558.6,3,0,4,11,1265,3,2,237.5,1841,47,45,-1,0,1183,0,0,0,0,2711,7,1494,0.8696
0,0,44.28,0,0,0,78,0,0,0,0,1879,27,25,1576,0,0,0,0,0,0,15.3,0,0,0.1154
0,4,381.2,2,1,2,7,0,4,2,42.13,1896,48,46,1461,0,1798,0,0,0,0,1933,4,0,0.7234
0,6,345.6,2,1,1,6,0,4,1,105.2,1339,28,28,1339,0,0,0,0,0,0,3855,4,0,0.963
0,0,0,0,0,0,87,0,0,0,0,1530,46,44,1534,0,0,0,0,0,0,0,0,0,0
0,0,36.73,0,0,0,62,0,0,0,0,1901,48,45,1505,0,0,0,0,0,0,455.5,5,0,0.4255
0,0,0,0,0,0,80,0,0,0,0,1371,31,31,1438,0,0,0,0,0,0,93.11,2,0,0.0667
0,3,0,0,0,1,61,0,0,0,0,1913,49,46,1495,0,1154,0,0,1,0,1240,7,0,0.5
0,2,65.47,0,0,2,61,1095,0,0,0,1348,26,26,-1,3,0,0,0,0,0,751.8,8,1459,0.52
0,1,439.9,4,0,1,34,0,1,1,11.36,1905,28,26,1518,0,0,0,0,0,0,353.5,2,0,0.2222
0,0,136.9,0,0,0,37,0,1,1,22.83,1425,96,94,1500,0,0,0,0,0,0,270.7,1,0,0.3474
0,1,100,0,0,0,24,0,1,1,21.25,1398,92,89,1509,0,0,0,61,0,0,1528,3,0,0.8462
0,0,0,0,0,0,82,1046,0,0,0,1518,46,44,0,0,0,0,0,0,0,60.93,1,1501,0.0889
1,0,318,2,0,0,5,0,4,2,103.6,1365,48,45,1687,0,0,0,0,0,0,2303,2,0,0.7021
1,0,177.8,1,0,0,73,0,0,0,0,1222,28,27,1448,0,0,0,0,0,0,133.4,1,0,0.1481
0,1,61.9,1,0,1,31,0,1,1,48.42,1303,26,25,1472,0,529.1,0,0,0,0,327.3,2,0,0.32
0,0,0,0,0,0,86,1119,0,0,0,1843,47,44,-1,0,0,0,0,0,0,128.8,1,1471,0.0217
0,0,245.6,2,1,0,46,0,1,1,6.779,1813,29,29,1506,0,0,0,0,0,0,52.52,1,0,0.0357
0,1,529.3,3,0,0,12,1717,3,2,20.1,1367,49,48,-1,0,0,0,0,0,0,534.1,4,1490,0.3958
0,4,401.2,3,0,6,27,1212,1,1,16.19,1905,48,47,-1,1,0,0,0,0,0,2576,4,1492,0.7872
3,1,395.2,2,1,2,13,0,2,1,22.12,1449,27,25,1463,0,0,0,0,0,0,2003,3,0,0.8077
0,0,0,0,0,0,77,1465,0,0,0,1352,29,27,-1,0,0,0,0,0,0,68.56,2,1495,0.1786
1,0,0,0,0,0,79,1206,0,0,0,1391,49,44,-1,0,0,0,0,0,0,79.33,3,1524,0.125
0,0,194.5,0,1,1,19,0,2,1,29.08,2067,96,94,1460,0,0,0,0,0,0,248.6,5,0,0.2947
0,2,279,4,0,1,10,0,3,1,40.19,1909,29,28,1399,1,0,0,0,0,0,991.7,2,0,0.3571
0,0,35.87,0,0,1,63,0,0,0,0,1815,31,30,1460,0,0,0,0,0,0,2037,4,0,0.5
0,0,0,0,0,0,67,1341,0,0,0,1355,30,29,-1,0,0,0,0,0,0,577.2,2,1587,0.3793
0,0,97.57,0,0,0,36,0,1,1,150.7,1767,29,28,1418,0,0,0,0,0,0,212.9,2,0,0.25
0,0,52.7,1,0,0,37,1150,1,1,54.31,1343,47,44,-1,0,0,0,0,0,0,143.8,5,1431,0.2174
0,1,23.22,0,0,1,47,1208,0,0,0,1867,29,28,-1,1,1702,0,111.8,0,0,3663,2,1565,0.8214
2,4,560.8,5,2,9,4,1355,5,2,28.48,1374,26,26,-1,0,0,0,0,0,0,2190,7,1534,0.64
0,3,218.8,2,2,3,6,0,4,1,86.24,1423,29,28,1434,0,0,0,0,0,0,3078,4,0,0.8929
0,1,81,1,0,1,29,0,1,1,20.13,1357,30,30,1327,0,0,0,0,0,0,687.7,2,0,0.5517
1,1,133.1,1,0,1,47,1358,1,1,7.093,1196,28,27,0,0,0,0,0,0,0,127.7,1,1454,0.1111
0,2,100,0,1,2,29,0,1,1,21.86,1959,95,93,1698,0,0,0,0,0,0,1606,5,0,0.6809
0,1,170,1,1,4,16,0,2,2,80.31,1327,26,26,1448,0,0,0,0,0,0,3182,2,0,0.72
1,4,135.2,1,0,4,8,0,3,1,128.4,1289,45,42,1544,0,0,0,0,0,0,2593,7,0,0.9091
0,0,100,1,0,0,41,1272,1,1,3.55,1278,27,27,-1,0,0,0,0,0,0,9.907,1,1514,0
0,0,17.81,0,0,0,79,1274,0,0,0,1945,99,95,-1,0,129.3,0,0,0,0,471.9,3,1536,0.2245
0,0,87.39,1,1,0,21,0,2,2,13.17,1388,48,44,1514,1,0,0,20.11,0,0,735,4,0,0.4468
0,1,192.5,0,0,8,27,1125,1,1,55.1,1739,25,23,-1,0,4.268,0,0,0,0,1378,7,1374,0.5417
0,6,467.8,2,1,6,2,0,5,1,70.94,1308,28,28,1526,0,0,0,0,0,0,4286,7,0,0.963
1,5,378.8,2,3,6,4,0,4,2,61.39,1297,29,28,1431,0,317.7,0,0,0,1,3120,4,0,1
0,0,30.1,0,0,0,77,0,0,0,0,1192,49,49,1515,0,0,0,0,0,0,194.1,2,0,0.1875
0,1,100,0,0,0,38,1000,1,1,7.667,2042,90,86,-1,0,0,0,0,0,0,231.7,4,1500,0.1573
0,0,100,1,0,0,55,0,0,0,0,2048,48,44,1497,0,0,0,0,0,0,3580,5,0,0.617
0,3,408,2,0,0,5,1076,4,2,9.437,1404,31,31,-1,0,0,0,226,0,0,2135,5,1471,0.7667
0,3,0,0,0,13,49,0,0,0,0,1358,30,30,1531,0,0,0,0,1,0,3165,7,0,0.9655
0,4,146.5,1,1,3,12,0,2,1,169.9,1827,29,28,1499,2,0,0,0,0,0,4321,6,0,0.8571
0,0,0,0,0,0,91,0,0,0,0,1376,27,25,1401,0,0,0,0,0,0,27.06,1,0,0
0,3,164.8,0,0,9,54,0,0,0,0,1867,47,44,1442,0,5271,0,9.096,0,0,1488,6,0,0.6522
1,2,83.08,1,0,1,40,0,1,1,21.94,1350,29,29,1388,0,0,0,0,0,0,576.7,3,0,0.2857
2,1,243.1,1,1,1,29,0,1,1,176,1892,47,45,1488,0,0,0,0,0,0,1749,4,0,0.7609
1,0,42.57,0,0,0,86,0,0,0,0,1372,27,27,1510,0,0,0,0,0,0,140.1,2,0,0.0769
0,0,200,2,0,0,69,0,0,0,0,2007,29,28,1480,0,0,0,0,0,0,589.3,3,0,0.25
0,0,0,0,0,0,92,0,0,0,0,1817,29,29,1514,0,0,0,0,0,0,103,1,0,0.0714
2,2,129.4,1,1,5,23,1188,1,1,18.31,1972,50,47,-1,1,0,0,0,0,0,3563,5,1621,0.9796
0,0,0,0,0,0,71,0,0,0,0,1809,28,27,1484,0,317.8,0,0,0,0,982.5,2,0,0.2963
1,1,100,1,0,1,30,0,1,1,10.64,1318,29,28,1489,0,0,0,0,0,0,1150,3,0,0.5
0,0,161.8,1,0,0,27,1077,1,1,8.427,1442,50,50,-1,0,867.1,0,0,0,0,638,2,1512,0.5714
0,4,283.1,0,1,14,27,0,1,1,151.9,1777,49,47,1494,0,0,0,0,0,0,3683,3,0,0.8958
0,0,190.3,1,0,0,47,1425,1,1,2.431,1341,30,30,-1,0,0,0,0,0,0,14.85,2,1528,0.2414
0,1,239.6,3,1,2,10,0,3,1,291,1665,29,27,1500,0,0,0,0,0,0,2666,5,0,0.7143
0,2,143.5,1,1,1,20,0,2,1,7.58,1892,27,25,1490,0,0,0,0,0,0,827.6,4,0,0.3462
0,0,46.41,0,0,0,81,0,0,0,0,1493,95,94,1499,0,0,0,0,0,0,50.82,1,0,0.1489
0,1,125.9,1,0,0,56,0,0,0,0,1719,27,25,1496,0,0,0,0,0,0,547.5,3,0,0.2692
0,0,36,0,0,0,84,0,0,0,0,1999,94,92,1507,0,0,0,0,0,0,292.6,1,0,0.1075
0,0,199.8,1,0,0,40,0,1,1,28.8,1423,49,48,1469,0,0,0,0,0,0,258.8,3,0,0.2292
0,0,80.6,0,0,0,66,0,0,0,0,1391,49,48,1496,0,0,0,0,0,0,747.9,6,0,0.5
0,0,0,0,0,0,64,1000,0,0,0,1399,49,47,-1,0,0,0,0,0,0,302.3,2,1500,0.3958
1,0,126.3,0,0,1,52,1463,0,0,0,1796,21,20,-1,0,0,0,0,0,0,1089,3,1514,0.25
0,0,47.85,0,0,5,62,0,0,0,0,1913,27,26,1340,0,0,0,0,0,0,565.5,3,0,0.4231
1,1,64.73,0,0,1,49,0,0,0,0,1287,30,29,1533,0,0,0,0,0,0,3309,7,0,0.7586
1,2,566.4,4,2,1,2,1072,6,4,42.99,1380,48,47,-1,0,0,0,0,0,0,822.1,5,1482,0.5106
0,0,0,0,0,0,85,1054,0,0,0,1743,29,29,-1,0,0,0,0,0,0,249.7,2,1507,0.1071
0,1,236,0,0,7,7,1142,3,1,11.72,1423,94,88,-1,0,0,0,0,0,0,1913,8,1557,0.9355
1,6,604.7,0,2,7,4,0,5,1,99.23,1465,93,92,1543,0,0,0,0,0,0,1766,2,0,0.9891
0,0,65.28,0,0,0,84,1347,0,0,0,1387,29,29,-1,0,0,0,0,0,0,67.54,2,1469,0.1429
0,0,0,0,0,0,94,0,0,0,0,1360,27,27,1489,0,0,0,0,0,0,68.9,2,0,0
